OrderID,Category,ShippingCost,WarehouseID,OrderDate
1001,Clothing,,W03,2025-12-06
1002,Electronics,91.21881502297883,W02,2025-06-01
1003,Clothing,28.68276176914312,W01,2025-06-27
1004,Clothing,43.98637768838483,W02,2025-06-12
1005,Electronics,76.77735816158962,W06,2025-02-02
1006,Electronics,26.735825721704135,W02,2025-06-28
1007,Clothing,12.313091433735334,W03,2025-04-11
1008,Furniture,32.526388026807965,W06,2025-09-25
1009,Clothing,20.31602228913042,W02,2025-11-19
1010,Clothing,93.32127697254444,W06,2025-03-06
1011,Clothing,,W02,2025-06-17
1012,Clothing,65.17335686849023,W03,2025-11-26
1013,Electronics,87.78875606783318,W02,2025-02-12
1014,Clothing,81.34884730541587,W02,2025-02-13
1015,Furniture,22.724155594173403,W02,2025-10-12
1016,Electronics,89.79310485654788,W01,2025-01-12
1017,Furniture,56.23751298198682,W01,2025-04-05
1018,Furniture,81.70681474058594,W01,2025-10-29
1019,Furniture,90.12867349273186,W03,2025-09-10
1020,Furniture,35.210330122327065,W06,2025-08-30
1021,Electronics,,W05,2025-02-04
1022,Electronics,26.65384044148446,W02,2025-08-03
1023,Furniture,45.57523991949435,W02,2025-12-03
1024,Furniture,82.71140276263685,W03,2025-03-31
1025,Electronics,86.76940540935263,W02,2025-09-21
1026,Electronics,5.660452400463117,W01,2025-04-03
1027,Electronics,53.52099374486875,W05,2025-03-31
1028,Clothing,44.654045299134005,W04,2025-04-25
1029,Clothing,26.100241994719372,W02,2025-04-15
1030,Clothing,16.387209896699865,W01,2025-07-15
1031,Furniture,,W04,2025-11-10
1032,Clothing,94.57642187168932,W05,2025-04-24
1033,Furniture,35.704278541971746,W04,2025-03-16
1034,Furniture,54.28510906561978,W01,2025-08-05
1035,Clothing,71.7868010950419,W06,2025-10-04
1036,Furniture,39.54481222603293,W06,2025-09-06
1037,Clothing,97.31929785849127,W04,2025-06-13
1038,Clothing,96.43249301950057,W03,2025-12-23
1039,Electronics,28.919318103409594,W04,2025-07-11
