Monthly_Spend,Tenure,Renewal_Status
273.6176582226604,62,0
229.44119917114688,62,0
405.01243953283233,24,1
489.39232100205,55,1
286.88241854844057,9,0
174.88946637324017,3,1
40.83237598312293,31,0
463.8287985073261,40,0
461.17554333375654,36,0
141.43528063483575,24,0
353.7973390911908,6,0
56.20858260308925,66,1
99.7834073164414,4,1
124.06837116151578,6,1
161.35709448292633,51,1
497.99906001409795,62,0
354.5240268146311,57,0
204.41687906202557,66,0
373.8083388046492,8,0
459.32208400117105,26,1
480.17715555576615,51,0
47.774670923699546,45,0
209.37046333190233,44,1
71.24291164922451,5,1
181.11683110254233,70,1
101.44635386987146,26,1
330.48721360098745,68,0
206.36882431513865,19,0
130.10947793837585,20,1
147.65020398283468,12,0
192.96564569852876,47,0
144.7759341700461,1,0
237.5556064778389,14,1
35.51165653263222,64,0
154.28648344109394,38,1
217.3792260186494,37,0
309.3353033711833,11,0
150.05966840726234,3,0
83.92886010739986,33,1
56.57618220759831,6,0
471.455277024984,50,1
219.98674771447003,10,1
298.9580581667966,5,1
461.2047448810686,23,0
59.719241616946945,10,0
440.7975132443805,44,0
284.7621788211536,2,0
99.12044534576046,13,1
217.40245596097714,40,1
393.24909619290827,2,1
250.57763929585025,65,0
492.9373043194421,63,1
200.83470557021155,17,0
379.7975839885146,9,1
208.63493550985237,15,0
417.9988259391269,24,0
293.1591051995589,38,1
50.48567820320065,35,1
37.674496465275865,49,1
84.24901702430392,69,1
26.562543116958697,62,0
56.17234896918191,60,1
352.0229106410778,50,1
276.48621201414227,9,1
379.95715974558647,34,0
458.3195610836686,35,0
300.87177551622653,1,1
368.53800515448705,40,0
383.39897698037885,64,1
201.3682636523775,22,0
135.7207195182233,60,0
118.42175768313196,64,0
140.69237096566326,11,0
151.87126257243622,14,1
119.46927152386709,60,1
441.54592039001227,30,1
383.35958344266976,35,0
42.510304539785565,37,1
148.96279137214754,5,1
30.648676174544782,26,1
259.11928959002864,62,0
248.5811344587268,4,0
419.0583152300006,42,0
167.73307509010374,18,1
411.8651529022699,40,1
484.6274074111151,39,1
62.43594721551035,14,0
400.0725629454238,32,0
303.1788306260653,51,1
250.42206416886808,38,0
221.85717375923605,23,0
396.6407666932686,63,0
326.8934513476363,15,0
406.4214404092937,25,1
453.5125081647806,17,0
316.28658180670016,66,0
490.62210804434136,53,0
311.8821677801049,51,0
325.5892743786956,39,1
286.3114921002683,51,1
63.681003704638535,70,0
368.6705756721096,6,0
282.77422731157355,67,0
236.43701475973012,7,0
457.02621363357105,51,0
163.02053674013624,42,0
271.32909248720534,64,1
354.8680983168624,15,0
402.3064523234611,29,1
240.48646781416278,33,1
424.20387920898065,27,0
389.0805158313908,36,1
51.79326936889561,29,1
42.013407874223816,38,1
317.9867285226038,57,1
186.75843594819884,27,1
120.3827797176868,55,1
298.2319685464344,33,0
183.9503410191416,68,1
277.8864400227536,66,1
240.85719631211458,10,1
300.68773085559377,5,0
212.14423467693504,38,1
354.8804353745272,13,0
106.4322907276633,31,1
354.3207037889979,47,0
217.5973828916135,52,0
439.6724503301202,56,1
267.3133063348212,15,1
487.09296764965006,29,0
308.9289898596609,8,1
127.44755163503388,5,0
414.4595056853356,29,0
185.63966135474564,47,0
186.85722295168807,68,0
35.26624711287926,45,0
283.3833484195561,2,1
276.52328179161105,27,0
190.87591245055333,36,0
449.2242861900444,36,1
81.79923118382908,26,0
178.44776638887458,43,1
174.35972704641392,27,1
64.29948138979812,69,1
250.94978914702074,20,0
350.13666420611986,11,0
265.59536650268535,38,0
95.34928770377299,6,1
201.09726331619484,23,0
21.24561170415035,47,1
436.7845313770817,46,0
60.56816368672733,12,1
306.6934794826067,13,0
493.40335801607125,62,0
277.5635100739196,60,0
463.5400443715679,43,1
133.33593589635407,68,1
384.7785962900411,5,0
275.00756190729635,37,0
365.84770946790314,31,1
49.923854005395896,9,1
90.91476411498881,51,1
83.89612572198956,29,0
349.8394425935989,40,1
425.3315228641418,41,0
379.81579136412194,11,1
34.62663331212519,23,0
436.2631909158672,1,1
189.99040198070023,46,1
210.6386396019596,21,1
70.33719993559083,36,1
373.9544989250332,54,1
107.49626166845987,57,0
290.70324416904145,1,1
423.54079322140694,63,1
62.81807778178697,54,1
276.9610707274513,55,0
131.9438775439046,40,1
184.60489485356493,15,0
247.50557188666696,21,1
190.4500655740663,47,1
331.4349633399565,53,0
250.1994088420401,9,1
300.41575266280125,52,0
373.67478818955817,57,0
287.71628765620994,26,1
301.5370086371644,41,0
290.9401004108678,35,1
201.81086045661888,63,1
181.97448025852069,25,0
451.8307506296059,38,0
311.62650670091494,2,0
137.28951462303417,7,0
259.1588949674913,34,1
178.56727101483872,17,1
468.1720754047398,43,0
23.616494304355875,59,1
128.15974290201353,51,1
195.37127344354766,54,1
254.1487043881942,24,1
