Product,Revenue,Profit,Region
Laptops,4190.236402548753,200.7276574579551,South
Phones,2241.447835694295,342.77465036529065,East
Phones,2820.880596327205,151.37817048038337,North
Phones,1046.4821596324025,578.0525752009288,West
Tablets,1289.7875511782354,942.9451230654654,South
Tablets,2569.974225626739,135.4091866016587,West
Phones,2919.7553388684937,209.8989226090241,East
Laptops,3400.082192477215,506.9791254550918,West
Tablets,2166.650314837213,940.4875157751144,West
Phones,3779.9275445061703,384.54049447907545,East
Phones,4440.489588756818,556.5113278195531,South
Tablets,4119.4039555734,137.41557314535288,North
Tablets,1158.4753013934287,233.50888086587997,South
Tablets,2922.0277890313155,987.9671106629622,East
Laptops,1419.7207136726995,968.606826792441,West
Laptops,1968.1800634501099,104.44598284096865,South
Phones,4946.650373068585,956.630606880915,North
Tablets,1569.9821716060528,675.2079440339503,East
Laptops,2995.5526138054242,881.1264650680199,South
Tablets,3472.6229372724765,509.26587007047317,North
Phones,3809.859882176416,564.0364257213253,East
Laptops,3238.5947339476566,539.9619222312282,North
Laptops,1039.0833896767347,700.1778317914939,East
Laptops,2305.8452329759675,225.6861292806816,West
Phones,3070.846573538846,126.97623088541016,South
Tablets,1351.4659965793335,377.13694743207185,North
Laptops,2402.5077248367234,734.212686462982,East
Phones,1132.8124351654662,281.66810691065353,North
Tablets,1314.313988620083,706.0891899924255,North
Phones,2587.6931048063843,972.9208414965434,South
Tablets,1530.8630161722413,184.51064421047653,West
Phones,3270.1633930462326,705.3419064026136,North
Tablets,3757.859876549063,499.375197374114,East
Laptops,4202.346796436332,881.3280289397549,East
Tablets,1800.6009769792404,259.43481050264734,West
Phones,1669.930329036279,723.3633570035481,East
Phones,1418.271361337601,854.3037606832992,West
Tablets,3545.720998174547,950.1527975266209,East
Laptops,3825.9029059476047,714.9232254606812,South
Laptops,1126.344579302568,547.4572876075846,North
Tablets,4744.848984974759,656.0625161810924,South
Tablets,1207.8851346058896,882.0144860308465,North
Phones,3165.185341204282,613.5487719749467,North
Laptops,3836.242077803666,127.34835372715318,North
Tablets,4483.876494984343,937.85382595628,South
Laptops,3856.3477285297113,720.574075928405,North
Tablets,4206.9123322791675,708.8620471995218,South
Tablets,2357.800770171224,294.1076371579454,West
Laptops,4259.300454986049,692.9969232093915,East
Tablets,1320.4593855387006,454.4779650887426,East
Tablets,4579.266624242111,686.1096793373429,North
Phones,3190.369504614945,195.93372727719165,South
Tablets,4269.191079849975,692.0607741427324,East
Tablets,2809.2731380732002,999.4723531935999,South
Tablets,3574.3107807860997,143.39083497450042,South
Phones,3105.610643744453,979.4567657991855,North
Laptops,3926.3580870213273,466.2171646505835,East
Phones,1326.5199281223584,883.6781053035332,North
Phones,1241.4083359622553,804.1469356524461,North
Laptops,1988.412936040586,610.314634888001,East
Phones,1638.1787204527534,764.6042883261939,East
Laptops,4487.1342663688065,890.6640051712131,West
Phones,1876.855949432177,463.72628948592967,West
Laptops,4903.461023276525,394.32984540691484,South
Tablets,2347.5831670844273,700.8340470072262,East
Phones,1728.471662754797,827.0613477471327,West
Phones,4158.794028569917,786.0566212989542,South
Phones,3634.8311020035044,818.032283972771,South
Phones,2992.782865812556,492.0249833316397,South
Tablets,3221.454203750525,836.0507945575195,West
Phones,3876.8071130890553,208.18814983354758,East
Tablets,1913.8189653251948,590.0401881647646,North
Tablets,4985.335664226968,105.18279444830941,South
Tablets,4899.172648587133,392.1272469102433,West
Tablets,3601.3027453877476,429.8153813842581,West
Laptops,1798.1698037165806,456.55542244832986,North
Laptops,3720.912969725165,725.920486020876,North
Phones,1288.7936359167034,449.7022911433112,West
Laptops,1122.6100088232242,503.8242603602776,East
Laptops,2030.7315540448546,313.7897177868947,North
Phones,2850.4918269572654,435.9266124664061,West
Phones,4473.090021633522,304.54266453683636,North
Phones,3908.676279065232,165.87633139159928,East
Laptops,3970.826084799924,643.1037340432401,South
Laptops,2701.973337792301,701.3915186995147,North
Phones,2383.7399701878517,657.5413114086531,East
Tablets,2484.155051938411,517.1446394205151,West
Phones,4950.5982549442315,441.80720216130686,North
Tablets,1160.4367656499298,877.0002846146427,North
Tablets,4468.125984489794,567.1736066225963,West
Phones,3314.7016342895736,531.2636898667579,South
