ReadingID,PollutantLevel,AreaCode
5000,,B1
5001,86.03440433706199,A2
5002,85.15022420900296,C3
5003,100.48422635028413,B1
5004,68.26278465205891,A2
5005,99.65598712427028,A1
5006,64.78998288621062,A2
5007,17.38929399072811,A1
5008,54.57728968304576,B1
5009,64.72113833778796,C3
5010,89.22228397955253,C3
5011,21.72366031415418,B1
5012,25.402039252649388,C3
5013,39.00521828980781,C3
5014,39.31482327079704,A1
5015,,B1
5016,37.580372661775755,A2
5017,79.64078696931924,A1
5018,64.37012351520985,B1
5019,73.06238159973407,A1
5020,102.19176594961255,A2
5021,54.48196517039268,A2
5022,94.80025147706975,B1
5023,56.42396655057561,A2
5024,48.92585142173744,A1
5025,115.44898950445426,A2
5026,30.280801274685953,A1
5027,19.937065663536867,A1
5028,94.80845180890263,A2
5029,17.507467588950075,B1
5030,,C3
5031,58.09127359929679,A2
5032,110.70650450211055,A1
5033,89.36861472340962,A1
5034,77.14451337087533,A2
5035,114.42374767635422,B1
5036,53.63143103572597,B1
5037,114.94956301935963,A1
5038,24.850140516332765,A1
5039,63.2130436125654,B1
5040,39.69023446314144,C3
5041,69.38270567990128,A2
5042,27.821526568074308,A1
5043,102.56826263410477,A1
5044,103.1048634246013,B1
5045,,A2
5046,27.013935497155984,B1
5047,78.56658059954898,A2
5048,62.16610395704066,A2
5049,47.882210524865656,A2
5050,48.669417724764074,A1
5051,55.40729056674275,C3
5052,87.54181046578483,B1
5053,75.811466409497,C3
5054,60.564966403724426,B1
5055,18.35267514065843,A2
5056,18.55418784868528,A1
5057,10.257332968835609,C3
5058,116.4469327027795,A1
5059,10.57792004142234,B1
5060,,A1
5061,44.605621249035195,A1
5062,98.81732769984373,C3
5063,115.83086643405295,A2
5064,96.90149146710417,A1
5065,85.96162556902047,A2
5066,67.34307341549263,B1
5067,19.537573304840198,A1
5068,115.39878723043235,C3
5069,93.42316553402496,B1
5070,80.2844323867688,B1
5071,93.49394300927348,C3
5072,89.65136622004525,A1
5073,80.09547377684355,A1
5074,117.8634480197987,B1
5075,,A1
5076,81.13314110288798,A2
5077,86.24927326026172,C3
5078,15.6755387324581,A2
5079,83.69092110050431,A1
5080,14.858198148111018,B1
5081,74.70901326669241,C3
5082,119.92888495224183,A1
5083,71.13872395808977,A1
5084,62.05311298894667,B1
5085,44.41403421561463,B1
5086,23.25748366651109,A2
5087,90.41260386041098,C3
5088,31.185893056419346,C3
5089,22.68102233720128,B1
5090,,A2
5091,97.48760217550071,C3
5092,91.95710029322424,B1
5093,16.03708761111224,A1
5094,60.06580535397717,C3
5095,67.4678033678286,A2
5096,80.90013156884044,A2
5097,81.51840854875509,A2
5098,50.116697440303646,A1
5099,71.67449134038654,C3
5100,62.916807222849506,C3
5101,107.34981921756092,A1
5102,68.32916458983902,C3
5103,58.513537792297775,A1
5104,54.493399465003584,A1
5105,,A1
5106,98.43746773409875,A2
5107,69.22416394188663,C3
5108,82.78206925885956,A1
5109,91.16413435971775,C3
5110,67.2184920866605,A2
5111,56.94987623203508,A1
5112,106.43319156486945,B1
5113,55.925669243068135,A2
5114,60.813713563314636,B1
5115,118.93754446759549,C3
5116,10.026127593347304,C3
5117,30.402020053439472,A2
5118,52.23602789116983,C3
5119,112.58489003677782,B1
5120,,A1
5121,11.043397699134788,A1
5122,15.795221957495144,A1
5123,19.739775167497996,A2
5124,14.135645052688695,C3
5125,62.77594595421552,B1
5126,73.88329279500604,C3
5127,39.885566817590444,C3
5128,53.81161223731991,C3
5129,20.086926862257314,A1
5130,47.000751021126426,B1
5131,67.47711107979754,B1
5132,90.54989879031096,C3
5133,10.368099824727715,A1
5134,61.404184319141784,A1
5135,,B1
5136,103.81040038610915,A1
5137,88.71086467576662,A1
5138,74.80193879179843,A1
5139,40.499221026645095,A2
5140,110.13730122632877,C3
5141,14.96107449423555,B1
5142,22.041435854702666,B1
5143,53.079315459439165,A2
5144,23.6881313026542,C3
5145,115.20572673153676,B1
5146,97.77882543577218,A1
5147,38.4880916761995,B1
5148,74.74096518705699,A1
5149,118.05635665880898,A2
